Algoritma,Trip,Best_Cost,Avg_Cost,Std_Dev,Time(s),SLA_Violations
LBA,Trip 1,106665.22477777784,106665.22477777784,0.0,0.44737133333333334,0
ACO,Trip 1,186955.8822777778,186955.8822777778,0.0,7.092087333333333,0
GA,Trip 1,261732.79726666704,261732.79726666704,0.0,0.41337633333333335,0
SA,Trip 1,1014370.7525777776,1014370.7525777776,0.0,0.0056749999999999995,1
LBA,Trip 2,106665.22477777784,106665.22477777784,0.0,0.44737133333333334,0
ACO,Trip 2,186955.8822777778,186955.8822777778,0.0,7.092087333333333,0
GA,Trip 2,261732.79726666704,261732.79726666704,0.0,0.41337633333333335,0
SA,Trip 2,1014370.7525777776,1014370.7525777776,0.0,0.0056749999999999995,0
LBA,Trip 3,106665.22477777784,106665.22477777784,0.0,0.44737133333333334,0
ACO,Trip 3,186955.8822777778,186955.8822777778,0.0,7.092087333333333,0
GA,Trip 3,261732.79726666704,261732.79726666704,0.0,0.41337633333333335,0
SA,Trip 3,1014370.7525777776,1014370.7525777776,0.0,0.0056749999999999995,0
